Category: All categories

Month,mlb: (United States)
2004-01,4
2004-02,5
2004-03,7
2004-04,12
2004-05,11
2004-06,13
2004-07,15
2004-08,11
2004-09,13
2004-10,17
2004-11,6
2004-12,7
2005-01,6
2005-02,6
2005-03,9
2005-04,15
2005-05,13
2005-06,18
2005-07,18
2005-08,14
2005-09,14
2005-10,17
2005-11,6
2005-12,8
2006-01,6
2006-02,7
2006-03,10
2006-04,20
2006-05,18
2006-06,21
2006-07,22
2006-08,18
2006-09,17
2006-10,19
2006-11,7
2006-12,8
2007-01,6
2007-02,8
2007-03,13
2007-04,23
2007-05,20
2007-06,26
2007-07,26
2007-08,23
2007-09,23
2007-10,24
2007-11,10
2007-12,11
2008-01,7
2008-02,9
2008-03,15
2008-04,22
2008-05,19
2008-06,24
2008-07,28
2008-08,20
2008-09,21
2008-10,23
2008-11,8
2008-12,11
2009-01,11
2009-02,12
2009-03,15
2009-04,23
2009-05,22
2009-06,26
2009-07,28
2009-08,21
2009-09,18
2009-10,23
2009-11,12
2009-12,9
2010-01,8
2010-02,8
2010-03,13
2010-04,23
2010-05,22
2010-06,26
2010-07,30
2010-08,25
2010-09,23
2010-10,31
2010-11,9
2010-12,10
2011-01,8
2011-02,10
2011-03,16
2011-04,29
2011-05,26
2011-06,32
2011-07,35
2011-08,28
2011-09,31
2011-10,34
2011-11,10
2011-12,10
2012-01,9
2012-02,10
2012-03,16
2012-04,33
2012-05,29
2012-06,36
2012-07,38
2012-08,28
2012-09,31
2012-10,45
2012-11,9
2012-12,12
2013-01,9
2013-02,11
2013-03,15
2013-04,34
2013-05,30
2013-06,38
2013-07,44
2013-08,40
2013-09,38
2013-10,37
2013-11,9
2013-12,10
2014-01,9
2014-02,10
2014-03,16
2014-04,35
2014-05,31
2014-06,34
2014-07,39
2014-08,33
2014-09,35
2014-10,34
2014-11,9
2014-12,11
2015-01,8
2015-02,9
2015-03,13
2015-04,40
2015-05,38
2015-06,46
2015-07,48
2015-08,45
2015-09,46
2015-10,53
2015-11,12
2015-12,10
2016-01,8
2016-02,9
2016-03,14
2016-04,49
2016-05,54
2016-06,57
2016-07,58
2016-08,51
2016-09,54
2016-10,66
2016-11,19
2016-12,10
2017-01,7
2017-02,9
2017-03,16
2017-04,50
2017-05,54
2017-06,59
2017-07,67
2017-08,54
2017-09,54
2017-10,83
2017-11,18
2017-12,12
2018-01,11
2018-02,13
2018-03,23
2018-04,58
2018-05,57
2018-06,64
2018-07,69
2018-08,63
2018-09,66
2018-10,88
2018-11,11
2018-12,13
2019-01,12
2019-02,15
2019-03,28
2019-04,60
2019-05,59
2019-06,71
2019-07,70
2019-08,72
2019-09,69
2019-10,92
2019-11,10
2019-12,13
2020-01,12
2020-02,14
2020-03,14
2020-04,10
2020-05,10
2020-06,17
2020-07,30
2020-08,49
2020-09,50
2020-10,65
2020-11,7
2020-12,8
2021-01,9
2021-02,12
2021-03,15
2021-04,66
2021-05,61
2021-06,64
2021-07,73
2021-08,67
2021-09,69
2021-10,100
2021-11,18
2021-12,9
2022-01,9
2022-02,12
2022-03,24
2022-04,58
2022-05,57
2022-06,62
2022-07,78
2022-08,70
2022-09,65
2022-10,97
2022-11,66
