Category: All categories

Month,nba: (United States)
2004-01,8
2004-02,11
2004-03,9
2004-04,11
2004-05,14
2004-06,17
2004-07,8
2004-08,5
2004-09,5
2004-10,8
2004-11,12
2004-12,8
2005-01,8
2005-02,13
2005-03,10
2005-04,13
2005-05,15
2005-06,19
2005-07,7
2005-08,6
2005-09,5
2005-10,8
2005-11,10
2005-12,10
2006-01,10
2006-02,12
2006-03,10
2006-04,12
2006-05,17
2006-06,19
2006-07,8
2006-08,4
2006-09,5
2006-10,8
2006-11,10
2006-12,11
2007-01,10
2007-02,13
2007-03,10
2007-04,14
2007-05,18
2007-06,17
2007-07,8
2007-08,5
2007-09,4
2007-10,7
2007-11,10
2007-12,10
2008-01,10
2008-02,13
2008-03,12
2008-04,17
2008-05,19
2008-06,19
2008-07,8
2008-08,5
2008-09,5
2008-10,8
2008-11,11
2008-12,11
2009-01,11
2009-02,14
2009-03,12
2009-04,16
2009-05,22
2009-06,19
2009-07,9
2009-08,5
2009-09,5
2009-10,10
2009-11,11
2009-12,11
2010-01,12
2010-02,16
2010-03,11
2010-04,16
2010-05,20
2010-06,23
2010-07,15
2010-08,7
2010-09,7
2010-10,13
2010-11,14
2010-12,16
2011-01,17
2011-02,24
2011-03,19
2011-04,28
2011-05,35
2011-06,31
2011-07,8
2011-08,6
2011-09,6
2011-10,9
2011-11,12
2011-12,21
2012-01,21
2012-02,27
2012-03,26
2012-04,27
2012-05,40
2012-06,47
2012-07,19
2012-08,10
2012-09,8
2012-10,15
2012-11,21
2012-12,21
2013-01,22
2013-02,27
2013-03,26
2013-04,32
2013-05,41
2013-06,48
2013-07,17
2013-08,9
2013-09,7
2013-10,14
2013-11,21
2013-12,22
2014-01,22
2014-02,25
2014-03,22
2014-04,35
2014-05,45
2014-06,39
2014-07,20
2014-08,10
2014-09,7
2014-10,16
2014-11,21
2014-12,24
2015-01,23
2015-02,26
2015-03,22
2015-04,38
2015-05,46
2015-06,52
2015-07,16
2015-08,8
2015-09,10
2015-10,16
2015-11,25
2015-12,29
2016-01,31
2016-02,34
2016-03,31
2016-04,54
2016-05,73
2016-06,78
2016-07,26
2016-08,11
2016-09,13
2016-10,20
2016-11,31
2016-12,84
2017-01,35
2017-02,40
2017-03,38
2017-04,63
2017-05,67
2017-06,76
2017-07,26
2017-08,15
2017-09,16
2017-10,32
2017-11,40
2017-12,41
2018-01,44
2018-02,48
2018-03,43
2018-04,83
2018-05,98
2018-06,61
2018-07,25
2018-08,13
2018-09,14
2018-10,34
2018-11,43
2018-12,47
2019-01,47
2019-02,53
2019-03,46
2019-04,75
2019-05,98
2019-06,75
2019-07,27
2019-08,11
2019-09,12
2019-10,32
2019-11,47
2019-12,43
2020-01,45
2020-02,49
2020-03,30
2020-04,17
2020-05,16
2020-06,14
2020-07,20
2020-08,69
2020-09,70
2020-10,34
2020-11,22
2020-12,35
2021-01,49
2021-02,49
2021-03,46
2021-04,44
2021-05,78
2021-06,100
2021-07,58
2021-08,16
2021-09,12
2021-10,36
2021-11,47
2021-12,46
2022-01,45
2022-02,52
2022-03,50
2022-04,79
2022-05,96
2022-06,65
2022-07,20
2022-08,12
2022-09,13
2022-10,36
2022-11,46
