Category: All categories

Month,nhl: (United States)
2004-01,14
2004-02,16
2004-03,16
2004-04,20
2004-05,14
2004-06,11
2004-07,6
2004-08,5
2004-09,8
2004-10,7
2004-11,7
2004-12,8
2005-01,7
2005-02,11
2005-03,5
2005-04,5
2005-05,4
2005-06,5
2005-07,14
2005-08,15
2005-09,14
2005-10,21
2005-11,16
2005-12,14
2006-01,14
2006-02,11
2006-03,13
2006-04,19
2006-05,19
2006-06,18
2006-07,8
2006-08,6
2006-09,11
2006-10,16
2006-11,14
2006-12,15
2007-01,17
2007-02,17
2007-03,16
2007-04,27
2007-05,17
2007-06,12
2007-07,10
2007-08,7
2007-09,14
2007-10,16
2007-11,15
2007-12,16
2008-01,19
2008-02,19
2008-03,19
2008-04,32
2008-05,24
2008-06,18
2008-07,10
2008-08,7
2008-09,12
2008-10,19
2008-11,19
2008-12,22
2009-01,22
2009-02,19
2009-03,22
2009-04,31
2009-05,30
2009-06,23
2009-07,10
2009-08,7
2009-09,13
2009-10,20
2009-11,18
2009-12,19
2010-01,20
2010-02,20
2010-03,21
2010-04,36
2010-05,29
2010-06,21
2010-07,11
2010-08,9
2010-09,14
2010-10,20
2010-11,21
2010-12,23
2011-01,30
2011-02,26
2011-03,26
2011-04,50
2011-05,34
2011-06,33
2011-07,12
2011-08,9
2011-09,16
2011-10,23
2011-11,23
2011-12,28
2012-01,33
2012-02,30
2012-03,28
2012-04,69
2012-05,40
2012-06,27
2012-07,15
2012-08,10
2012-09,19
2012-10,18
2012-11,16
2012-12,19
2013-01,50
2013-02,38
2013-03,37
2013-04,43
2013-05,64
2013-06,52
2013-07,17
2013-08,9
2013-09,16
2013-10,30
2013-11,28
2013-12,29
2014-01,34
2014-02,21
2014-03,34
2014-04,55
2014-05,58
2014-06,34
2014-07,11
2014-08,9
2014-09,14
2014-10,28
2014-11,28
2014-12,31
2015-01,37
2015-02,36
2015-03,40
2015-04,66
2015-05,56
2015-06,38
2015-07,12
2015-08,9
2015-09,14
2015-10,31
2015-11,29
2015-12,30
2016-01,40
2016-02,46
2016-03,43
2016-04,81
2016-05,60
2016-06,38
2016-07,11
2016-08,7
2016-09,11
2016-10,29
2016-11,31
2016-12,36
2017-01,41
2017-02,39
2017-03,41
2017-04,72
2017-05,62
2017-06,47
2017-07,10
2017-08,7
2017-09,13
2017-10,33
2017-11,34
2017-12,35
2018-01,40
2018-02,48
2018-03,43
2018-04,87
2018-05,79
2018-06,37
2018-07,10
2018-08,7
2018-09,14
2018-10,36
2018-11,36
2018-12,38
2019-01,40
2019-02,49
2019-03,50
2019-04,100
2019-05,71
2019-06,52
2019-07,11
2019-08,7
2019-09,14
2019-10,38
2019-11,38
2019-12,38
2020-01,40
2020-02,52
2020-03,28
2020-04,9
2020-05,11
2020-06,10
2020-07,15
2020-08,72
2020-09,44
2020-10,17
2020-11,8
2020-12,11
2021-01,37
2021-02,41
2021-03,40
2021-04,41
2021-05,63
2021-06,66
2021-07,32
2021-08,8
2021-09,9
2021-10,35
2021-11,40
2021-12,37
2022-01,44
2022-02,40
2022-03,41
2022-04,48
2022-05,92
2022-06,63
2022-07,17
2022-08,7
2022-09,9
2022-10,36
2022-11,39
